T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
0.72016,NaN,0.4012,NaN,0.63056,NaN,0.72208,NaN,2.42496,NaN,2.3842,NaN,1.9398,NaN,2.40464,NaN,2.40632,NaN
1.65416,NaN,1.50124,NaN,1.4158,NaN,1.89324,NaN,2.43504,NaN,2.40232,NaN,2.43908,NaN,2.42564,NaN,2.43504,NaN
2.40396,NaN,1.5574,NaN,1.86688,NaN,2.42168,NaN,2.44364,NaN,2.4512,NaN,2.44364,NaN,2.433,NaN,2.43964,NaN
2.41688,NaN,2.37344,NaN,2.37936,NaN,2.4466,NaN,2.4552,NaN,2.45668,NaN,2.44676,NaN,2.43584,NaN,2.4554,NaN
2.42164,NaN,2.37684,NaN,2.3958,NaN,2.46464,NaN,2.46052,NaN,2.46228,NaN,2.45,NaN,2.44212,NaN,2.46232,NaN
2.43232,NaN,2.40052,NaN,2.39824,NaN,2.47288,NaN,2.46752,NaN,2.47268,NaN,2.45728,NaN,2.45108,NaN,2.46556,NaN
2.43936,NaN,2.40368,NaN,2.40108,NaN,2.49532,NaN,2.4706,NaN,2.48344,NaN,2.46356,NaN,2.45864,NaN,2.46896,NaN
2.44296,NaN,2.40728,NaN,2.40452,NaN,2.499,NaN,2.4748,NaN,2.49544,NaN,2.4752,NaN,2.46308,NaN,2.4718,NaN
2.4464,NaN,2.40948,NaN,2.40688,NaN,6.07676,NaN,2.47692,NaN,2.50108,NaN,2.48124,NaN,2.46776,NaN,2.47904,NaN
2.4504,NaN,2.41396,NaN,2.40928,NaN,8.36136,NaN,2.49912,NaN,2.50352,NaN,2.48788,NaN,2.47024,NaN,2.48324,NaN
2.4534,NaN,2.41836,NaN,2.41236,NaN,12.60044,NaN,2.50916,NaN,4.18176,NaN,2.4958,NaN,2.47952,NaN,2.48756,NaN
2.46088,NaN,2.42128,NaN,2.41516,NaN,12.60416,NaN,2.5184,NaN,8.45756,NaN,2.49912,NaN,2.48796,NaN,2.49532,NaN
2.46464,NaN,2.42356,NaN,2.41932,NaN,12.60992,NaN,2.52932,NaN,10.27216,NaN,2.50428,NaN,2.4924,NaN,2.50112,NaN
2.46764,NaN,2.42588,NaN,2.4216,NaN,12.61364,NaN,2.55864,NaN,12.60352,NaN,2.57284,NaN,2.5058,NaN,2.50384,NaN
2.47256,NaN,2.42896,NaN,2.42428,NaN,12.61576,NaN,5.75056,NaN,12.62084,NaN,6.51944,NaN,2.5198,NaN,2.53916,NaN
2.47696,NaN,2.43268,NaN,2.42844,NaN,12.6186,NaN,9.22784,NaN,12.6268,NaN,8.3918,NaN,2.52848,NaN,2.54216,NaN
2.47988,NaN,2.43592,NaN,2.43152,NaN,12.62652,NaN,12.5808,NaN,12.63224,NaN,8.572,NaN,2.53544,NaN,2.5468,NaN
2.4828,NaN,2.439,NaN,2.43392,NaN,12.62912,NaN,12.6042,NaN,12.63936,NaN,10.0312,NaN,2.544,NaN,2.56464,NaN
2.48884,NaN,2.44196,NaN,2.43684,NaN,12.64404,NaN,12.61272,NaN,12.66008,NaN,10.34652,NaN,2.54776,NaN,5.78344,NaN
2.4934,NaN,2.44572,NaN,2.44024,NaN,12.65172,NaN,12.61732,NaN,12.6654,NaN,12.3776,NaN,2.55172,NaN,8.2078,NaN
2.49684,NaN,2.44808,NaN,2.4436,NaN,12.65488,NaN,12.6206,NaN,12.71132,NaN,12.59864,NaN,2.56316,NaN,10.84612,NaN
2.50524,NaN,2.45024,NaN,2.44604,NaN,12.66544,NaN,12.63224,NaN,12.73912,NaN,12.60328,NaN,4.6024,NaN,12.23108,NaN
2.50856,NaN,2.45236,NaN,2.44924,NaN,12.67712,NaN,12.63576,NaN,16.18052,NaN,12.60808,NaN,5.75224,NaN,12.57936,NaN
2.51084,NaN,2.45616,NaN,2.45184,NaN,16.195,NaN,12.63852,NaN,16.1902,NaN,12.6116,NaN,5.85256,NaN,12.58572,NaN
2.52124,NaN,2.4594,NaN,2.4546,NaN,16.20516,NaN,12.64136,NaN,16.19644,NaN,12.62624,NaN,6.42664,NaN,12.60652,NaN
2.53996,NaN,2.46248,NaN,2.45824,NaN,16.21328,NaN,12.65044,NaN,16.20208,NaN,12.6382,NaN,9.70356,NaN,12.61252,NaN
5.56068,NaN,2.46496,NaN,2.46056,NaN,16.21556,NaN,12.6602,NaN,16.2056,NaN,12.64416,NaN,10.22968,NaN,12.62052,NaN
6.67208,NaN,2.46748,NaN,2.46268,NaN,16.21984,NaN,12.66544,NaN,16.20956,NaN,12.64912,NaN,10.23512,NaN,12.6236,NaN
7.1708,NaN,2.46976,NaN,2.46676,NaN,16.23084,NaN,16.14708,NaN,16.21724,NaN,12.66752,NaN,10.87916,NaN,12.6262,NaN
7.8958,NaN,2.47244,NaN,2.4702,NaN,16.24452,NaN,16.15244,NaN,16.2262,NaN,12.6804,NaN,11.56484,NaN,12.6286,NaN
7.90476,NaN,2.47464,NaN,2.47264,NaN,16.52436,NaN,16.19452,NaN,16.2448,NaN,13.70308,NaN,11.81596,NaN,12.63872,NaN
8.7872,NaN,2.47752,NaN,2.47508,NaN,17.67568,NaN,16.22072,NaN,19.29788,NaN,16.17244,NaN,12.591,NaN,12.64592,NaN
10.3174,NaN,2.48008,NaN,2.47832,NaN,19.32316,NaN,18.412,NaN,19.34048,NaN,16.1748,NaN,12.59504,NaN,12.65012,NaN
12.31664,NaN,2.4834,NaN,2.4814,NaN,19.33952,NaN,18.95212,NaN,19.35132,NaN,16.1826,NaN,12.60464,NaN,12.65376,NaN
12.38204,NaN,2.48704,NaN,2.48492,NaN,19.3486,NaN,19.37344,NaN,19.37648,NaN,16.18508,NaN,12.62012,NaN,12.65696,NaN
12.57872,NaN,2.49236,NaN,2.48756,NaN,19.39104,NaN,19.3848,NaN,19.3848,NaN,16.2002,NaN,12.62228,NaN,12.66048,NaN
12.58952,NaN,2.4956,NaN,2.491,NaN,19.98864,NaN,22.57724,NaN,19.40264,NaN,16.215,NaN,12.62604,NaN,12.66404,NaN
12.59308,NaN,2.49832,NaN,2.49396,NaN,21.9006,NaN,22.65528,NaN,19.40816,NaN,16.22648,NaN,12.63216,NaN,12.66824,NaN
12.59524,NaN,2.50092,NaN,2.4978,NaN,22.66892,NaN,22.6856,NaN,19.41044,NaN,16.24452,NaN,12.63704,NaN,12.68376,NaN
12.60068,NaN,2.5036,NaN,2.50116,NaN,22.67828,NaN,22.69004,NaN,19.4316,NaN,19.30436,NaN,12.63916,NaN,12.68864,NaN
12.60392,NaN,2.50652,NaN,2.50508,NaN,22.6986,NaN,22.70896,NaN,21.85428,NaN,19.3336,NaN,12.64832,NaN,12.71868,NaN
12.60788,NaN,2.51044,NaN,2.50724,NaN,22.70124,NaN,22.71352,NaN,22.65732,NaN,19.33744,NaN,12.65236,NaN,12.74568,NaN
12.61352,NaN,2.5128,NaN,2.51004,NaN,22.99592,NaN,22.7354,NaN,22.68588,NaN,19.3454,NaN,12.65488,NaN,12.90168,NaN
